ID,post_type,post_status,post_name,post_title,post_content,post_excerpt,post_author,post_date,post_modified,post_thumbnail,post_parent,menu_order,post_tags,post_category,summary,seo_title,image,book_star,amazon_url,author,publisher,price,no_price,type,reread,text,reread_2,text_2,reread_3,text_3,reread_4,text_4,reread_5,text_5,status,auto_update_uri,ao_post_optimize,views,post_views_count,bzb_meta_keywords,bzb_meta_description,bzb_meta_robots,bzb_post_asset_js4head,bzb_post_asset_css,bzb_post_asset_js,bzb_cta,bzb_post_front_info,bzb_checklists,bzb_show_toppage_flag,bzb_include_rss,bzb_post_social_buttons,title,no-price
,books,publish,whos-afraid-of-contemporary-art-english-editionkindle-kyung-anjessica-cerasi,Who's Afraid of Contemporary Art?,"優しい英語で書かれているので、少なくとも5割は理解できたように思う。背伸びして読むのも大事かと思う。本書で以下のマリーナ・アブラモビッチの「弓矢のパフォーマンス」のことを知り、しびれた。これはいい。 
 <p class=""text-center"">
 <img src=""https://dev.shintaku.co/05_makiko-nonaka/wp-content/uploads/2020/07/8562636_orig.jpg"" alt=""マリーナ・アブラモビッチの「弓矢のパフォーマンス」"" />
 </p>",,2,2019-08-12 1:24:35,2020-07-07 1:42:05,,0,0,,art,,,https://test.b2i.link/wp-content/uploads/2020/07/413UDY3LJZL.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/B01NCNYFIW/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=B01NCNYFIW&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,"Kyung An,Jessica Cerasi",Thames and Hudson Ltd;,1224,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,31,146,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,we-are-lonely-but-not-alone,"WE ARE LONELY, BUT NOT ALONE. 〜現代の孤独と持続可能な経済圏としてのコミュニティ〜",いまだアメリカでホームレス以外に友達の一人もおらず、なんだか孤独だなあと思っていたところにこのタイトルだったので読み始めた、結果、全然孤独の話じゃない。しかしいたって有益な内容で、これから作家としてどのように動いて行くべきか、非常に参考になった。,,2,2019-07-29 1:30:46,2020-07-01 1:31:52,,0,0,,book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/download.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/B07CLHZNS1/ref=docs-os-doi_0,佐渡島 庸平,幻冬舎,1539,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,8,146,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,los-angeles-experimental-city-of-multiethnic-society,ロサンゼルス―多民族社会の実験都市,久々に素直に本を読む喜びを感じた本。トランプ以前に昔からアメリカ・メキシコ間に壁を建設する計画はあったことなど全く知らなかった。ロサンゼルスで起こったことは全米に波及するというが、アートにおいてもそれは同じなのかもしれない。ロサンゼルスは概して新しいものを好む土壌があると言われる。,,2,2019-06-24 1:18:20,2020-07-02 1:23:05,https://dev.shintaku.co/05_makiko-nonaka/wp-content/uploads/2019/06/31HnaHgjGEL._SX309_BO1204203200_.jpg,0,0,,book-review,,,https://test.b2i.link/wp-content/uploads/2019/06/31HnaHgjGEL._SX309_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4121012534/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4121012534&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,矢作 弘,中央公論社,,購入価格: 人に借りた(0円),,,,,,,,,,,,,,,7,116,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,america-a-country-where-children-cant-play-alone-american-parenting-in-the-age-of-panic-and-safety,子どもがひとりで遊べない国、アメリカ―安全・安心パニック時代のアメリカ子育て事情,毎日子供を送り迎えしている上司のことを、最初、教育熱心だと思っていたが、よく聞けばそれは法律であって、そうしなければ逮捕されるんだという話から、もっと詳しく知りたいと思い見つけた。アメリカのことがどんどん嫌いになっている、今日この頃。,,2,2019-08-19 2:37:34,2020-07-02 2:40:27,,0,0,,book-review,,,https://test.b2i.link/wp-content/uploads/2019/08/419eqp6IzAL._SX298_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4903690830/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4903690830&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,谷口 輝世子,生活書院,2450,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,5,137,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,hillbilly-elegy-whites-left-behind-from-american-prosperity,ヒルビリー・エレジー アメリカの繁栄から取り残された白人たち,おすすめされて読んだ本。まったく感動的な本だと思う。ひとりの不幸な星のもとに生まれた人間が、いかに「偶然」かつ「幸運」にその境遇を脱し、アメリカの富裕層の1％に辿りついたかが率直で誠実な筆致で描かれている。ただの成り上がっておめでとうではない、深い次元で学ぶところがある。,,2,2019-07-18 2:40:56,2020-07-02 2:42:52,,0,0,,book-review,,,https://test.b2i.link/wp-content/uploads/2019/07/download.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4334039790/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4334039790&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,J.D.ヴァンス,光文社,1749,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,7,136,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,conclusion-of-life,人生の結論,久々の自己啓発的な本。まあ、その通りだなあということが並んでいて、さくさく読める。著者は80歳にも関わらず活き活きしているようなので、生きがいを見失い始めた老親の精神衛生の一助になればと思い買って送った。,,2,2019-06-10 2:43:13,2020-07-02 2:45:20,,0,0,,book-review,,,https://test.b2i.link/wp-content/uploads/2019/06/41tQQmVgoL._SX310_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4022737824/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4022737824&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,小池一夫,朝日新聞出版,875,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,12,129,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,food-experiment-station-america-where-the-fast-food-empire-goes,食の実験場アメリカ-ファーストフード帝国のゆくえ,同僚がおすすめだと言って貸してくれた本。食というものが、現在はびこる民族の分断状況に対してどれだけ有効なツールであるかが要所要所で語られており、食をテーマとした展覧会なんかのコンセプトに丸ごとコピペできそうなほど。,,2,2019-07-09 2:46:11,2020-07-02 2:47:36,,0,0,,book-review,,,https://test.b2i.link/wp-content/uploads/2019/07/51bAu7uvbIL._SX318_BO1204203200_.jpg,"</i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4121025407/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4121025407&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,鈴木 透,中央公論新社,,購入価格: 人に借りた(0円),,,,,,,,,,,,,,,4,125,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,worlds-no-1-and-lowest-get-to-know-the-basics-of-international-affairs,世界の国 1位と最下位――国際情勢の基礎を知ろう,この岩波ジュニア新書シリーズは、どれも子供を啓発しようという熱意が伝わってきてとても好感が持てる。すべての子供に読んでほしい！と思ってみたり。とかくわかったふりをしがちな大人が読むべき本でもある。,,2,2019-06-01 2:48:53,2020-07-02 2:51:41,,0,0,,book-review,,,https://test.b2i.link/wp-content/uploads/2019/06/51xUkA4fuL._SY344_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/B00QT9XDBE/ref=docs-os-doi_0,眞 淳平,岩波書店,928,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,8,133,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,our-children-increasing-opportunity-gap-in-the-united-states,われらの子ども:米国における機会格差の拡大,アメリカにおける子供の格差が鋭く描き出されている。親の学歴や経済レベルをいかに子供が如実に受け継ぐかを知るにつけ、遠い目になる。蛙の子は蛙ということか。アメリカで起こったことは10年後に日本で起こるといわれるが、すでにその兆しを感じざるを得ない。一億総中流時代は遠くになりにけり。単なるノスタルジーではなく、昭和はいい時代だったんだな。,,2,2019-06-10 2:52:02,2020-07-02 2:54:12,,0,0,,book-review,,,https://test.b2i.link/wp-content/uploads/2019/06/51WflpBYQtL._SY346_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/B06XPD8349/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=B06XPD8349&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,"ロバート・D・パットナム (著), 柴内 康文  (翻訳) ",創元社,3700,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,8,150,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,japan-as-number-one,新版　ジャパンアズナンバーワン,1979年に書かれた本書は、今読むとむずがゆいほどに日本のことが素直にほめられている。おそらく自分の親世代や祖父世代は、本書を読んで胸を張っただろうことがありありと想像される。ベストセラーになったのもうなずける。それから四十年後の現在、アメリカにて本書を読み終わったのは、しみじみと感慨深いものがある。「日本に学べ」と言った著者の思いとは裏腹に、日本はもはや学ばれるような存在ではないらしい。,,2,2019-05-09 2:54:45,2020-07-02 2:56:29,,0,0,,book-review,,,https://test.b2i.link/wp-content/uploads/2019/05/41TujfizA7L._SX353_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/B075GBGKZQ/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=B075GBGKZQ&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,"エズラ・F.ヴォーゲル (著), 広中和歌子 (翻訳), 木本彰子 (翻訳)",ＣＣＣメディアハウス,1296,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,12,131,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
